Título,Enlace,Puntos,Comentarios,Fecha
A WebGL game where you deliver messages on a tiny planet,https://messenger.abeto.co/,514 points,6 hours ago,2025-09-27 16:45:40
SSH3: Faster and rich secure shell using HTTP/3,https://github.com/francoismichel/ssh3,259 points,7 hours ago,2025-09-27 16:45:40
The death of east London's most radical bookshop,https://www.the-londoner.co.uk/scarlett-letters-closure-left-wing-bookshop/,62 points,3 hours ago,2025-09-27 16:45:40
Role of Amazon fires in the record atmospheric CO₂ growth in 2024,https://essopenarchive.org/doi/full/10.22541/essoar.175874118.83695562/v1,110 points,6 hours ago,2025-09-27 16:45:40
The Postmark backdoor that’s downloading emails,https://www.koi.security/blog/postmark-mcp-npm-malicious-backdoor-email-theft,191 points,7 hours ago,2025-09-27 16:45:40
LLM Observability in the Wild – Why OpenTelemetry Should Be the Standard,https://signoz.io/blog/llm-observability-opentelemetry/,36 points,2 hours ago,2025-09-27 16:45:40
Typst: A Possible LaTeX Replacement,https://lwn.net/Articles/1037577/,605 points,14 hours ago,2025-09-27 16:45:40
Norway to Monitor Airborne Radioactivity in Svalbard,https://www.highnorthnews.com/en/norway-monitor-airborne-radioactivity-svalbard,57 points,6 hours ago,2025-09-27 16:45:40
I made a public living room and the internet keeps putting weirder stuff in it,https://www.theroom.lol,94 points,3 hours ago,2025-09-27 16:45:40
Greenland is a beautiful nightmare,https://matduggan.com/greenland-is-a-beautiful-nightmare/,366 points,5 hours ago,2025-09-27 16:45:40
Ishkur's Guide to Electronic Music,http://music.ishkur.com/,177 points,11 hours ago,2025-09-27 16:45:40
2025 Nikon Small World in Motion Competition Winners,https://www.nikonsmallworld.com/galleries/2025-small-world-in-motion-competition,9 points,2 hours ago,2025-09-27 16:45:40
Meshtastic 64: A meshtastic radio for the Commodore 64,http://64jim64.blogspot.com/2025/09/meshtastic-64-meshtastic-radio-for.html,5 points,1 hour ago,2025-09-27 16:45:40
Great Question (YC W21) Is Hiring Director of Product,https://www.ycombinator.com/companies/great-question/jobs/9crdslU-director-of-product,N/A,4 hours ago,2025-09-27 16:45:40
iPhone 17 chip becomes the fastest single-core CPU in the world on PassMark,https://www.tomshardware.com/pc-components/cpus/apples-a19-becomes-the-fastest-single-core-cpu-in-the-world-on-passmark-beating-pc-chips-and-apples-own-m3-ultra-passively-cooled-iphone-17-chip-catapults-past-power-hungry-competitors,91 points,1 hour ago,2025-09-27 16:45:40
Windows ML is generally available,https://blogs.windows.com/windowsdeveloper/2025/09/23/windows-ml-is-generally-available-empowering-developers-to-scale-local-ai-across-windows-devices/,44 points,7 hours ago,2025-09-27 16:45:40
Walking Around the Compiler,https://bernsteinbear.com/blog/walking-around/,23 points,5 hours ago,2025-09-27 16:45:40
AI model trapped in a Raspberry Pi,https://blog.adafruit.com/2025/09/26/ai-model-trapped-in-raspberry-pi-piday-raspberrypi/,90 points,6 hours ago,2025-09-27 16:45:40
I built Foyer: a Rust hybrid cache that slashes S3 latency,https://medium.com/@yingjunwu/the-case-for-hybrid-cache-for-object-stores-4b1f02ec6c9a,145 points,12 hours ago,2025-09-27 16:45:40
Why We Think,https://lilianweng.github.io/posts/2025-05-01-thinking/,61 points,9 hours ago,2025-09-27 16:45:40
"Docker Was Too Slow, So We Replaced It: Nix in Production [video]",https://www.youtube.com/watch?v=iPoL03tFBtU,52 points,2 hours ago,2025-09-27 16:45:40
SimpleFold: Folding proteins is simpler than you think,https://github.com/apple/ml-simplefold,453 points,1 day ago,2025-09-27 16:45:40
Compositor 0.3 for Windows,https://compositorapp.com/blog/2025-09-24/Compositor-Windows-03/,23 points,4 hours ago,2025-09-27 16:45:40
Explore Digital Edition of Printing Types from 1922,https://www.openculture.com/2025/09/explore-a-new-digital-edition-of-printing-types-the-authoritative-history-of-printing-typography-from-1922.html,3 points,2 hours ago,2025-09-27 16:45:40
Xeres: Uncensorable Peer-to-Peer Communications,https://xeres.io/,44 points,3 hours ago,2025-09-27 16:45:40
A lifetime of social ties adds up to healthy aging,https://news.cornell.edu/stories/2025/09/lifetime-social-ties-adds-healthy-aging,152 points,15 hours ago,2025-09-27 16:45:40
In Praise of Binturongs,https://satyrs.eu/garden/2025/binturongs,12 points,3 hours ago,2025-09-27 16:45:40
Depictions of Celestial Objects Spanning Nearly a Millennium (2014),https://publicdomainreview.org/collection/flowers-of-the-sky/,28 points,7 hours ago,2025-09-27 16:45:40
Testing the Raspberry Pi 500's new mechanical keyboard,https://www.jeffgeerling.com/blog/2025/testing-raspberry-pi-500s-new-mechanical-keyboard,73 points,6 hours ago,2025-09-27 16:45:40
New in Firefox: Visual search powered by Google Lens,https://connect.mozilla.org/t5/discussions/new-in-firefox-desktop-only-visual-search/m-p/106216#M41026,18 points,1 hour ago,2025-09-27 16:45:40
